EffSize,Efficiency,Constraint,Hierarchy,Size(in),Ties(in),Pairs(in),Densit(in),nWeakC(in),pWeakC(in),2StepR(in),ReachE(in),Broker(in),nBroke(in),EgoBet(in),nEgoBe(in),Size(out),Ties(out),Pairs(out),Densit(out),nWeakC(out),pWeakC(out),2StepR(out),ReachE(out),Broker(out),nBroke(out),EgoBet(out),nEgoBe(out),Size(un),Ties(un),Pairs(un),Densit(un),nWeakC(un),pWeakC(un),2StepR(un),ReachE(un),Broker(un),nBroke(un),EgoBet(un),nEgoBe(un),OutDeg,Indeg,nOutdeg,nIndeg,Degree,nDegree,Eigenvec,nEigenvec,Power,inFarness,outFarness,InClose,OutClose,Between,nBetweenness,Inforcent,OutdwReach,IndwReach,nOutdwReach,nIndwReach,EffSize(g),Efficiency(g),Constraint(g),Hierarchy(g),CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,label,defect
22.86460114,0.952691734,0.206530496,0.526492178,2,0,2,0,2,100,0.427715987,100,1,0.5,0,0,22,38,462,8.225108147,3,13.63636398,37.21129227,47.77594757,212,0.458874464,0,0,24,39,552,7.065217495,4,16.66666603,37.5106926,47.89732361,256.5,0.464673907,43,7.789855003,102,10,8.22E-05,8.05E-06,112,0.009021505,5.17E-05,0.007309488,102,5463906,4872960,0.042789903,0.047979053,285.4314575,0.005223945,2.89E-13,97.49996948,3,0.041684467,0.001282599,23.55448151,0.981436729,0.171062738,0.662636638,4,13,362,12,0,1,0,49,3,14,1,0,2,18,30,1,18,35,88,1,13,12,13,193,49,25,90,287,141,0.1,45,231,8,193,1,17,3,88,1,0,22,1,15,3.277777778,1,27,4.666666667,1,12,3,1,3,0.80952381,0,0,0
3.141666651,0.785416663,0.497300029,0.109827057,0,0,0,0,0,0,0,0,0,0,0,0,4,2,12,16.66666603,2,50,2.22412324,82.53968048,5,0.416666657,0,0,4,2,12,16.66666603,2,50,2.22412324,82.53968048,5,0.416666657,0,0,10,0,8.05E-06,0,10,0.000805492,2.81E-07,3.98E-05,10,5468582,4863860,0.042753313,0.048068818,0,0,2.89E-13,71.8143158,1,0.030702999,0.000427533,3.74518013,0.936295033,0.32169795,0.22772482,0,4,54,2,0,1,0,5,1,4,0,0,1,4,16,1,4,5,16,0,1,2,4,10,5,4,15,29,8,0.55,9,23,2,17,0,4,1,75,1,0,3,2,2,0.75,0,6,2.25,1,2,1.25,1,1,0.5,0,0,0
1,1,1,1,1,0,0,0,1,100,1.026518345,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,1.026518345,100,0,0,0,0,0,2,0,1.61E-06,2,0.000161098,1.19E-07,1.69E-05,0,5461570,5468582,0.042808205,0.042753313,0,0,2.89E-13,1,3,0.000427533,0.001282599,1,1,1,1,0,7,101,5,0,1,1,12,2,8,2,0,2,7,20,1,7,11,25,0,1,6,7,25,11,7,23,65,18,0.31,16,41,5,29,0,5,2,57,2,0,0,1,4,1.857142857,0,6,2,1,12,2.571428571,1,2,0.666666667,0,0,0
2.436263323,0.609065831,0.795663714,0.797497332,1,0,0,0,1,100,1.026518345,100,0,0,0,0,3,0,6,0,3,100,27.71599579,94.73683929,3,0.5,0,0,4,3,12,25,1,25,27.97262573,92.37287903,4.5,0.375,0,0,12,41,9.67E-06,3.30E-05,53,0.004269105,1.28E-05,0.00180968,12,5461570,5417192,0.042808205,0.043158893,0,0,2.89E-13,9.783332825,3,0.004182699,0.001282599,3.84683466,0.961708665,0.627653778,0.83357811,0,3,70,1,0,1,0,12,1,3,0,0,1,12,16,1,12,12,24,0,6,1,12,12,12,12,24,49,12,0.33,5,36,1,23,0,12,1,83,1,0,3,1,3,2,1,1,1,1,1,1,1,0,0,0,0,0
7.956032753,0.795603275,0.456842482,0.244558901,1,0,0,0,1,100,1.026518345,100,0,0,0,0,9,19,72,26.38888931,1,11.11111069,17.23695374,62.19135666,26.5,0.368055552,0,0,10,27,90,30,1,10,17.66467094,61.45833206,31.5,0.349999994,0.125,0.138888896,31,2,2.50E-05,1.61E-06,33,0.002658122,8.21E-05,0.011607774,31,5461570,4929063,0.042808205,0.047432952,2.261507988,4.14E-05,2.89E-13,78.81663513,3,0.033696722,0.001282599,9.585267067,0.958526731,0.134183452,0.107971884,0,13,62,9,0,4,0,10,5,13,0,0,2,2,16,1,2,4,19,0,1,9,2,21,10,8,18,41,9,0.39,5,27,3,22,0,2,5,0,1,0,9,1,8,5,2,9,5.5,2,7,4,1,2,1.5,0,0,0
3.937937021,0.787587404,0.60103029,0.108561881,1,0,0,0,1,100,0.384944409,100,0,0,0,0,5,4,20,20,1,20,5.047048569,72.39263916,8,0.400000006,1.5,7.5,5,4,20,20,1,20,5.047048569,72.39263916,8,0.400000006,1.5,7.5,20,2,1.61E-05,1.61E-06,20,0.001610983,2.01E-06,0.000284674,20,5466244,4891922,0.0427716,0.047793075,119.8797607,0.00219403,2.89E-13,65.34765625,2,0.027938288,0.000855066,4.43473053,0.886946082,0.353000015,0.180115163,0,10,85,7,1,2,0,13,3,10,0,0,3,4,20,1,4,11,20,0,5,7,3,28,11,8,19,54,20,0.37,11,39,7,29,0,4,3,50,1,0,5,2,6,2.75,0,8,3.75,0,5,2.25,1,4,2.428571429,0,0,0
7.572073936,0.841341555,0.489539593,0.294830978,1,0,0,0,1,100,0.213857993,100,0,0,0,0,9,10,72,13.88888931,1,11.11111069,33.70402145,54.57063675,31,0.430555552,5.5,7.638888836,9,10,72,13.88888931,1,11.11111069,33.70402145,54.57063675,31,0.430555552,5.5,7.638888836,52,4,4.19E-05,3.22E-06,54,0.004349654,1.14E-05,0.001617609,52,5466244,4892066,0.0427716,0.047791671,30.59166718,0.00056,2.89E-13,63.36907959,2,0.02709238,0.000855066,8.038229942,0.89313668,0.281154662,0.352313459,4,10,172,7,0,1,0,27,3,12,1,2,3,9,45,1,9,23,44,1,4,8,4,56,23,11,39,112,44,0.4,15,83,7,61,0,8,3,77,1,0,9,2,4,2.666666667,1,14,4.888888889,2,16,3.666666667,1,3,1.272727273,0,0,0
1.643356681,0.54778558,0.899273932,0.319657594,2,2,2,100,1,50,0.470487595,78.57142639,0,0,0,0,1,0,0,0,1,100,1.11206162,100,0,0,0,0,3,3,6,50,1,33.33333206,1.454234362,85,1.5,0.25,0.5,8.333333015,4,18,3.22E-06,1.45E-05,22,0.001772081,3.41E-07,4.82E-05,4,5463906,5419532,0.042789903,0.043140255,0.5,9.15E-06,2.89E-13,8.116666794,3,0.003470144,0.001282599,2.260220766,0.753406942,0.569285691,0.343645811,0,3,60,1,0,1,0,4,1,6,0,3,1,4,32,1,4,4,10,0,2,1,4,4,4,4,10,19,4,1.68,9,14,1,9,0,4,1,50,1,0,1,1,3,2.25,2,1,1,1,1,1,1,0,0,0,0,0
1.433333278,0.477777779,1.192841649,0.027899073,2,1,2,50,1,50,1.154833198,84.375,0.5,0.25,0,0,1,0,0,0,1,100,1.625320792,100,0,0,0,0,3,3,6,50,1,33.33333206,2.138580084,71.42857361,1.5,0.25,0,0,1,2,8.05E-07,1.61E-06,3,0.000241647,2.15E-08,3.04E-06,1,5218781,5466244,0.044799734,0.0427716,0,0,2.89E-13,2,30.34048653,0.000855066,0.012971563,2.456209183,0.818736374,0.436028987,0.009565356,0,5,55,1,0,1,0,2,1,12,0,7,1,2,35,1,2,2,10,0,0,1,2,7,2,2,10,17,4,2.06,3,14,1,11,0,2,1,0,1,0,0,2,3,2,1,3,2.5,2,1,1,1,2,0.4,0,0,0
5.379629612,0.768518507,0.532524049,0.135261133,3,3,6,50,1,33.33333206,2.78015399,69.89247131,1.5,0.25,0,0,4,3,12,25,2,50,32.12147141,90.59107208,4.5,0.375,0,0,7,9,42,21.4285717,1,14.28571415,33.87510681,85.90021515,16.5,0.392857134,6.833333492,16.26984215,17,10,1.37E-05,8.05E-06,27,0.002174827,1.44E-05,0.002029497,17,5218700,4920347,0.044800431,0.047516976,2394.940918,0.0438,2.89E-13,46.61071777,35.28334427,0.019927626,0.015084798,6.104701996,0.872100294,0.218548194,0.1824736,0,4,57,1,0,1,0,4,1,4,0,0,1,4,21,1,4,4,16,0,1,1,4,9,4,4,16,27,6,0.78,9,22,1,17,0,4,1,25,1,0,3,2,6,3.25,1,5,3.25,2,1,1,1,0,0,0,0,0
